1st Q,1st Q.1,1st Q.2,1st Q.3,1st Q.4,1st Q.5
Time,Golden State,,Score,,LA Lakers
12:00.0,Jump ball: D. Green vs. D. Ayton (G. Vincent gains possession),Jump ball: D. Green vs. D. Ayton (G. Vincent gains possession),Jump ball: D. Green vs. D. Ayton (G. Vincent gains possession),Jump ball: D. Green vs. D. Ayton (G. Vincent gains possession),Jump ball: D. Green vs. D. Ayton (G. Vincent gains possession)
11:39.0,,,0-2,+2,L. Dončić makes 2-pt jump shot from 14 ft
11:27.0,D. Green misses 3-pt jump shot from 27 ft,,0-2,,
11:24.0,,,0-2,,Defensive rebound by A. Reaves
11:08.0,,,0-2,,Turnover by L. Dončić (lost ball; steal by D. Green)
11:00.0,B. Podziemski makes 2-pt jump shot from 3 ft (assist by J. Kuminga),+2,2-2,,
10:39.0,,,2-4,+2,A. Reaves makes 2-pt layup from 4 ft
10:38.0,,,2-4,,Violation by Team (delay of game)
10:24.0,D. Green misses 2-pt hook shot from 7 ft,,2-4,,
10:23.0,,,2-4,,Defensive rebound by L. Dončić
10:18.0,,,2-4,,L. Dončić misses 3-pt jump shot from 26 ft
10:15.0,Defensive rebound by B. Podziemski,,2-4,,
10:08.0,J. Butler makes 3-pt jump shot from 24 ft (assist by B. Podziemski),+3,5-4,,
9:48.0,,,5-4,,Turnover by A. Reaves (bad pass; steal by S. Curry)
9:44.0,J. Kuminga misses 2-pt layup from 2 ft,,5-4,,
9:42.0,,,5-4,,Defensive rebound by Team
9:27.0,,,5-4,,Turnover by A. Reaves (bad pass; steal by S. Curry)
9:24.0,Shooting foul by A. Reaves (drawn by J. Butler),,5-4,,
9:24.0,J. Butler makes free throw 1 of 2,+1,6-4,,
9:24.0,J. Butler makes free throw 2 of 2,+1,7-4,,
9:07.0,,,7-7,+3,L. Dončić makes 3-pt jump shot from 26 ft (assist by A. Reaves)
8:49.0,D. Green misses 3-pt jump shot from 28 ft,,7-7,,
8:45.0,,,7-7,,Defensive rebound by L. Dončić
8:36.0,,,7-9,+2,D. Ayton makes 2-pt hook shot from 5 ft (assist by L. Dončić)
8:31.0,J. Butler makes 2-pt dunk from 2 ft (assist by J. Kuminga),+2,9-9,,
8:27.0,,,9-9,,Offensive foul by R. Hachimura (drawn by B. Podziemski)
8:27.0,,,9-9,,Turnover by R. Hachimura (offensive foul)
8:13.0,S. Curry makes 3-pt jump shot from 27 ft (assist by D. Green),+3,12-9,,
7:55.0,,,12-11,+2,D. Ayton makes 2-pt layup from 3 ft (assist by G. Vincent)
7:45.0,S. Curry misses 3-pt jump shot from 26 ft,,12-11,,
7:43.0,,,12-11,,Defensive rebound by R. Hachimura
7:36.0,,,12-11,,L. Dončić misses 3-pt jump shot from 27 ft
7:34.0,Defensive rebound by D. Green,,12-11,,
7:26.0,J. Kuminga misses 2-pt jump shot from 16 ft,,12-11,,
7:24.0,,,12-11,,Defensive rebound by L. Dončić
7:03.0,,,12-11,,Turnover by Team (shot clock)
7:03.0,B. Hield enters the game for J. Butler,,12-11,,
7:03.0,G. Payton enters the game for B. Podziemski,,12-11,,
7:03.0,,,12-11,,M. Smart enters the game for G. Vincent
6:42.0,Turnover by D. Green (bad pass),,12-11,,
6:42.0,,,12-11,,LA Lakers full timeout
6:28.0,,,12-11,,M. Smart misses 3-pt jump shot from 27 ft
6:25.0,Defensive rebound by D. Green,,12-11,,
6:17.0,B. Hield misses 3-pt jump shot from 28 ft,,12-11,,
6:14.0,,,12-11,,Defensive rebound by L. Dončić
6:12.0,,,12-11,,A. Reaves misses 2-pt layup from 3 ft (block by G. Payton)
6:12.0,,,12-11,,Offensive rebound by Team
6:09.0,,,12-11,,Turnover by L. Dončić (bad pass; steal by S. Curry)
6:04.0,Turnover by B. Hield (bad pass),,12-11,,
5:46.0,,,12-11,,A. Reaves misses 3-pt jump shot from 27 ft
5:43.0,Defensive rebound by D. Green,,12-11,,
5:40.0,Personal foul by D. Ayton (drawn by S. Curry),,12-11,,
5:40.0,A. Horford enters the game for D. Green,,12-11,,
5:33.0,G. Payton misses 2-pt layup from 3 ft,,12-11,,
5:31.0,Offensive rebound by G. Payton,,12-11,,
5:30.0,G. Payton misses 2-pt layup from 2 ft (block by D. Ayton),,12-11,,
5:30.0,,,12-11,,Defensive rebound by L. Dončić
5:23.0,,,12-11,,L. Dončić misses 2-pt layup from 3 ft
5:22.0,,,12-11,,Offensive rebound by D. Ayton
5:22.0,Technical foul by D. Green,,12-11,,
5:22.0,,,12-11,,A. Reaves misses technical free throw
5:22.0,,,12-11,,Offensive rebound by Team
5:14.0,,,12-11,,L. Dončić misses 3-pt jump shot from 28 ft
5:12.0,Defensive rebound by J. Kuminga,,12-11,,
5:08.0,Turnover by J. Kuminga (bad pass; steal by M. Smart),,12-11,,
5:05.0,,,12-11,,M. Smart misses 3-pt jump shot from 23 ft
5:03.0,Defensive rebound by A. Horford,,12-11,,
5:00.0,Offensive foul by G. Payton (drawn by L. Dončić),,12-11,,
5:00.0,Turnover by G. Payton (offensive foul),,12-11,,
5:00.0,,,12-11,,J. LaRavia enters the game for A. Reaves
4:49.0,,,12-11,,Shooting foul by G. Payton (drawn by L. Dončić)
4:49.0,,,12-12,+1,L. Dončić makes free throw 1 of 2
4:49.0,,,12-12,,L. Dončić misses free throw 2 of 2
4:47.0,Defensive rebound by J. Kuminga,,12-12,,
4:32.0,J. Kuminga makes 3-pt jump shot from 27 ft (assist by S. Curry),+3,15-12,,
4:24.0,,,15-12,,Turnover by D. Ayton (bad pass; steal by B. Hield)
4:23.0,B. Hield makes 2-pt layup from 3 ft,+2,17-12,,
4:07.0,,,17-14,+2,L. Dončić makes 2-pt jump shot from 13 ft
3:57.0,S. Curry misses 3-pt jump shot from 27 ft,,17-14,,
3:54.0,,,17-14,,Defensive rebound by Team
3:54.0,J. Butler enters the game for S. Curry,,17-14,,
3:54.0,B. Podziemski enters the game for J. Kuminga,,17-14,,
3:54.0,,,17-14,,J. Hayes enters the game for D. Ayton
3:54.0,,,17-14,,J. Vanderbilt enters the game for R. Hachimura
3:41.0,,,17-14,,J. Vanderbilt misses 2-pt layup from 2 ft
3:40.0,Defensive rebound by A. Horford,,17-14,,
3:26.0,Shooting foul by J. LaRavia (drawn by J. Butler),,17-14,,
3:26.0,J. Butler makes free throw 1 of 2,+1,18-14,,
3:26.0,J. Butler makes free throw 2 of 2,+1,19-14,,
3:12.0,,,19-14,,L. Dončić misses 3-pt jump shot from 27 ft
3:09.0,Defensive rebound by A. Horford,,19-14,,
2:57.0,B. Hield makes 3-pt jump shot from 27 ft,+3,22-14,,
2:42.0,,,22-14,,Shooting foul by G. Payton (drawn by L. Dončić)
2:42.0,Golden State full timeout,,22-14,,
2:42.0,G. Santos enters the game for G. Payton,,22-14,,
2:42.0,,,22-15,+1,L. Dončić makes free throw 1 of 2
2:42.0,,,22-16,+1,L. Dončić makes free throw 2 of 2
2:21.0,B. Podziemski misses 2-pt jump shot from 15 ft,,22-16,,
2:18.0,,,22-16,,Defensive rebound by J. Hayes
2:13.0,,,22-16,,Personal foul by J. Butler (drawn by L. Dončić)
2:13.0,W. Richard enters the game for B. Hield,,22-16,,
2:01.0,,,22-16,,Turnover by M. Smart (bad pass; steal by J. Butler)
2:01.0,,,22-16,,A. Reaves enters the game for L. Dončić
1:38.0,J. Butler misses 2-pt jump shot from 14 ft,,22-16,,
1:37.0,,,22-16,,Defensive rebound by J. Hayes
1:30.0,,,22-16,,Shooting foul by W. Richard (drawn by A. Reaves)
1:30.0,,,22-17,+1,A. Reaves makes free throw 1 of 2
1:30.0,,,22-18,+1,A. Reaves makes free throw 2 of 2
1:09.0,A. Horford makes 3-pt jump shot from 24 ft (assist by J. Butler),+3,25-18,,
0:58.0,,,25-18,,Turnover by A. Reaves (lost ball; steal by W. Richard)
0:56.0,Offensive foul by B. Podziemski (drawn by A. Reaves),,25-18,,
0:56.0,Turnover by B. Podziemski (offensive foul),,25-18,,
0:37.0,,,25-20,+2,A. Reaves makes 2-pt layup from 2 ft
0:32.0,Turnover by G. Santos (bad pass; steal by J. Vanderbilt),,25-20,,
0:27.0,,,25-22,+2,J. Hayes makes 2-pt layup from 3 ft (assist by A. Reaves)
0:03.0,Shooting foul by M. Smart (drawn by J. Butler),,25-22,,
0:03.0,,,25-22,,LA Lakers full timeout
0:03.0,,,25-22,,Instant Replay (Challenge: Stands)
0:03.0,D. Green enters the game for A. Horford,,25-22,,
0:03.0,J. Kuminga enters the game for B. Podziemski,,25-22,,
0:03.0,G. Payton enters the game for G. Santos,,25-22,,
0:03.0,J. Butler makes free throw 1 of 3,+1,26-22,,
0:03.0,J. Butler makes free throw 2 of 3,+1,27-22,,
0:03.0,J. Butler makes free throw 3 of 3,+1,28-22,,
0:00.0,,,28-22,,A. Reaves misses 3-pt jump shot from 27 ft
0:00.0,,,28-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter
2nd Q,2nd Q,2nd Q,2nd Q,2nd Q,2nd Q
Time,Golden State,,Score,,LA Lakers
12:00.0,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter
11:52.0,Turnover by J. Butler (traveling),,28-22,,
11:42.0,,,28-25,+3,G. Vincent makes 3-pt jump shot from 26 ft (assist by A. Reaves)
11:25.0,J. Butler misses 2-pt jump shot from 15 ft,,28-25,,
11:23.0,,,28-25,,Defensive rebound by A. Reaves
11:18.0,,,28-25,,A. Reaves misses 3-pt jump shot from 26 ft
11:15.0,,,28-25,,Offensive rebound by J. LaRavia
11:08.0,,,28-25,,Shooting foul by J. Butler (drawn by J. LaRavia)
11:08.0,,,28-25,,J. LaRavia misses free throw 1 of 2
11:08.0,,,28-25,,Offensive rebound by Team
11:08.0,,,28-25,,J. LaRavia misses free throw 2 of 2
11:06.0,Defensive rebound by D. Green,,28-25,,
10:51.0,B. Podziemski makes 2-pt jump shot from 17 ft (assist by Q. Post),+2,30-25,,
10:32.0,,,30-25,,G. Vincent misses 3-pt jump shot from 26 ft
10:30.0,,,30-25,,Offensive rebound by A. Reaves
10:21.0,,,30-25,,J. Vanderbilt misses 3-pt jump shot from 23 ft
10:20.0,Defensive rebound by D. Green,,30-25,,
10:16.0,J. Butler misses 2-pt layup from 3 ft,,30-25,,
10:15.0,,,30-25,,Defensive rebound by J. Vanderbilt
10:04.0,,,30-25,,Turnover by J. Vanderbilt (out of bounds lost ball)
10:04.0,,,30-25,,Technical foul by J. Vanderbilt
10:04.0,J. Butler makes technical free throw,+1,31-25,,
9:53.0,D. Green makes 2-pt dunk from 4 ft,+2,33-25,,
9:33.0,,,33-27,+2,A. Reaves makes 2-pt jump shot from 12 ft
9:11.0,J. Butler makes 2-pt jump shot from 14 ft (assist by D. Green),+2,35-27,,
8:58.0,,,35-29,+2,A. Reaves makes 2-pt jump shot from 12 ft
8:51.0,Offensive foul by D. Green (drawn by A. Reaves),,35-29,,
8:51.0,Turnover by D. Green (offensive foul),,35-29,,
8:51.0,,,35-29,,L. Dončić enters the game for J. LaRavia
8:51.0,,,35-29,,R. Hachimura enters the game for J. Vanderbilt
8:38.0,,,35-29,,Offensive foul by J. Hayes (drawn by Q. Post)
8:38.0,,,35-29,,Turnover by J. Hayes (offensive foul)
8:38.0,,,35-29,,D. Ayton enters the game for J. Hayes
8:25.0,Personal foul by A. Reaves (drawn by J. Butler),,35-29,,
8:13.0,B. Podziemski misses 3-pt jump shot from 24 ft,,35-29,,
8:10.0,Offensive rebound by D. Green,,35-29,,
8:07.0,Turnover by B. Hield (step out of bounds),,35-29,,
8:07.0,S. Curry enters the game for B. Podziemski,,35-29,,
7:49.0,,,35-31,+2,L. Dončić makes 2-pt jump shot from 15 ft
7:36.0,Shooting foul by D. Ayton (drawn by S. Curry),,35-31,,
7:36.0,S. Curry makes free throw 1 of 2,+1,36-31,,
7:36.0,A. Horford enters the game for J. Butler,,36-31,,
7:36.0,J. Kuminga enters the game for B. Hield,,36-31,,
7:36.0,W. Richard enters the game for Q. Post,,36-31,,
7:36.0,S. Curry makes free throw 2 of 2,+1,37-31,,
7:14.0,,,37-31,,R. Hachimura misses 3-pt jump shot from 26 ft
7:11.0,Defensive rebound by A. Horford,,37-31,,
6:57.0,,,37-31,,LA Lakers full timeout
6:57.0,G. Payton enters the game for D. Green,,37-31,,
6:57.0,,,37-31,,M. Smart enters the game for A. Reaves
6:57.0,Jump ball: J. Kuminga vs. G. Vincent (A. Horford gains possession),Jump ball: J. Kuminga vs. G. Vincent (A. Horford gains possession),Jump ball: J. Kuminga vs. G. Vincent (A. Horford gains possession),Jump ball: J. Kuminga vs. G. Vincent (A. Horford gains possession),Jump ball: J. Kuminga vs. G. Vincent (A. Horford gains possession)
6:53.0,A. Horford misses 3-pt jump shot from 26 ft,,37-31,,
6:51.0,Offensive rebound by J. Kuminga,,37-31,,
6:48.0,Turnover by J. Kuminga (lost ball; steal by G. Vincent),,37-31,,
6:41.0,,,37-31,,Shooting foul by A. Horford (drawn by L. Dončić)
6:41.0,,,37-32,+1,L. Dončić makes free throw 1 of 2
6:41.0,,,37-33,+1,L. Dončić makes free throw 2 of 2
6:24.0,S. Curry misses 2-pt layup from 3 ft,,37-33,,
6:23.0,,,37-33,,Defensive rebound by D. Ayton
6:10.0,,,37-33,,Turnover by D. Ayton (lost ball; steal by G. Payton)
6:05.0,G. Payton makes 2-pt layup from 1 ft (assist by W. Richard),+2,39-33,,
5:54.0,,,39-35,+2,M. Smart makes 2-pt jump shot from 18 ft
5:44.0,Offensive foul by S. Curry (drawn by M. Smart),,39-35,,
5:44.0,Turnover by S. Curry (offensive foul),,39-35,,
5:44.0,,,39-35,,A. Reaves enters the game for G. Vincent
5:33.0,Flagrant foul type 1 by M. Smart (drawn by S. Curry),,39-35,,
5:33.0,,,39-35,,Turnover by M. Smart (offensive foul)
5:33.0,,,39-35,,Instant Replay (Request: Ruling Stands)
5:33.0,S. Curry makes flagrant free throw 1 of 2,+1,40-35,,
5:33.0,S. Curry makes flagrant free throw 2 of 2,+1,41-35,,
5:23.0,Shooting foul by A. Reaves (drawn by J. Kuminga),,41-35,,
5:23.0,J. Kuminga makes free throw 1 of 2,+1,42-35,,
5:23.0,J. Kuminga misses free throw 2 of 2,,42-35,,
5:21.0,,,42-35,,Defensive rebound by D. Ayton
5:05.0,,,42-35,,L. Dončić misses 2-pt jump shot from 9 ft
5:03.0,Defensive rebound by A. Horford,,42-35,,
4:59.0,S. Curry makes 3-pt jump shot from 28 ft (assist by J. Kuminga),+3,45-35,,
4:43.0,,,45-37,+2,A. Reaves makes 2-pt layup from 3 ft (assist by L. Dončić)
4:26.0,A. Horford misses 2-pt layup from 2 ft (block by L. Dončić),,45-37,,
4:25.0,,,45-37,,Defensive rebound by D. Ayton
4:18.0,,,45-39,+2,M. Smart makes 2-pt layup from 3 ft (assist by A. Reaves)
4:18.0,Golden State full timeout,,45-39,,
4:18.0,J. Butler enters the game for G. Payton,,45-39,,
4:03.0,S. Curry makes 2-pt layup from 4 ft (assist by J. Butler),+2,47-39,,
3:44.0,,,47-41,+2,L. Dončić makes 2-pt jump shot from 12 ft (assist by R. Hachimura)
3:30.0,J. Kuminga misses 3-pt jump shot from 25 ft,,47-41,,
3:28.0,,,47-41,,Defensive rebound by L. Dončić
3:18.0,,,47-41,,Turnover by D. Ayton (traveling)
2:59.0,S. Curry makes 2-pt jump shot from 4 ft (assist by J. Kuminga),+2,49-41,,
2:46.0,,,49-41,,Shooting foul by A. Horford (drawn by M. Smart)
2:46.0,,,49-42,+1,M. Smart makes free throw 1 of 2
2:46.0,D. Green enters the game for A. Horford,,49-42,,
2:46.0,B. Podziemski enters the game for W. Richard,,49-42,,
2:46.0,,,49-42,,G. Vincent enters the game for A. Reaves
2:46.0,,,49-42,,M. Smart misses free throw 2 of 2
2:44.0,Defensive rebound by J. Kuminga,,49-42,,
2:33.0,Turnover by D. Green (bad pass; steal by L. Dončić),,49-42,,
2:23.0,,,49-42,,Shooting foul by D. Green (drawn by D. Ayton)
2:23.0,,,49-42,,D. Ayton misses free throw 1 of 2
2:23.0,,,49-42,,Offensive rebound by Team
2:23.0,,,49-42,,D. Ayton misses free throw 2 of 2
2:21.0,Defensive rebound by J. Butler,,49-42,,
2:13.0,S. Curry misses 3-pt jump shot from 28 ft,,49-42,,
2:09.0,,,49-42,,Defensive rebound by D. Ayton
2:07.0,,,49-42,,Offensive foul by M. Smart (drawn by J. Kuminga)
2:07.0,,,49-42,,Turnover by M. Smart (offensive foul)
2:01.0,Offensive foul by D. Green (drawn by M. Smart),,49-42,,
2:01.0,Turnover by D. Green (offensive foul),,49-42,,
